arp.opcode,arp.hw.size,icmp.checksum,icmp.seq_le,icmp.transmit_timestamp,icmp.unused,http.content_length,http.response,http.tls_port,tcp.ack,tcp.ack_raw,tcp.checksum,tcp.connection.fin,tcp.connection.rst,tcp.connection.syn,tcp.connection.synack,tcp.dstport,tcp.flags,tcp.flags.ack,tcp.len,tcp.seq,udp.port,udp.stream,udp.time_delta,dns.qry.name,dns.qry.qu,dns.qry.type,dns.retransmission,dns.retransmit_request,dns.retransmit_request_in,mqtt.conflag.cleansess,mqtt.conflags,mqtt.hdrflags,mqtt.len,mqtt.msg_decoded_as,mqtt.msgtype,mqtt.proto_len,mqtt.topic_len,mqtt.ver,mbtcp.len,mbtcp.trans_id,mbtcp.unit_id,Attack_type
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436561.0,2372061242.0,31019.0,0.0,0.0,0.0,0.0,60944.0,16.0,1.0,1440.0,114971734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,2800743525.0,33857.0,0.0,0.0,0.0,0.0,53007.0,16.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3461456623.0,35575.0,1.0,0.0,0.0,0.0,1883.0,25.0,1.0,2.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,799582878.0,26608.0,1.0,0.0,0.0,0.0,58759.0,17.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2510881197.0,26036.0,0.0,0.0,0.0,0.0,1883.0,16.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,4224623132.0,50892.0,1.0,0.0,0.0,0.0,49636.0,17.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11214.0,0.0,1.0,0.0,0.0,51606.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,998064199.0,23719.0,0.0,0.0,0.0,0.0,54780.0,24.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1845055467.0,41912.0,0.0,0.0,0.0,0.0,52884.0,16.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4045005183.0,38095.0,0.0,0.0,0.0,0.0,1883.0,16.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,558027586.0,30382.0,0.0,0.0,0.0,0.0,53909.0,16.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101966.0,2371726647.0,28421.0,0.0,0.0,0.0,0.0,60944.0,24.0,1.0,1440.0,25396255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,71203136.0,64697.0,0.0,0.0,0.0,0.0,1883.0,16.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1814826268.0,40220.0,0.0,0.0,0.0,0.0,1883.0,16.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
