pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory,Label,Category
51006254,1528097750.940729,e s,tcp,192.168.100.149,64125.0,192.168.100.7,80.0,2,308,REQ,1528097755.970312,9614,5.029583,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.198824,0.198824,0.0,1,DDoS,TCP,DDoS_TCP,2
51016254,1528097751.085749,e s,tcp,192.168.100.150,2805.0,192.168.100.7,80.0,3,462,REQ,1528097759.254039,19614,8.16829,1.547516,1.547516,,,3.095033,0.0,3.095033,,,,,3,0,462,0,0.244849,0.244849,0.0,1,DDoS,TCP,DDoS_TCP,2
51026254,1528097751.217039,e s,tcp,192.168.100.149,3848.0,192.168.100.7,80.0,2,308,REQ,1528097756.254219,29614,5.03718,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.198524,0.198524,0.0,1,DDoS,TCP,DDoS_TCP,2
51036254,1528097751.359258,e s,tcp,192.168.100.147,50723.0,192.168.100.7,80.0,4,616,REQ,1528097760.773631,39614,9.414373,2.606839,0.00476,,,5.213678,2.602014,2.611664,,,,,4,0,616,0,0.318662,0.318662,0.0,1,DDoS,TCP,DDoS_TCP,2
51046254,1528097751.506368,e s,tcp,192.168.100.149,8651.0,192.168.100.7,80.0,2,308,REQ,1528097756.541196,49614,5.034828,0.0,0.0,,,0.0,0.0,0.0,,,,,2,0,308,0,0.198617,0.198617,0.0,1,DDoS,TCP,DDoS_TCP,2
51056254,1528097751.660326,e s,tcp,192.168.100.147,56681.0,192.168.100.7,80.0,4,616,REQ,1528097761.068384,59614,9.408058,2.598731,0.003549,,,5.197461,2.595095,2.602366,,,,,4,0,616,0,0.318876,0.318876,0.0,1,DDoS,TCP,DDoS_TCP,2
51066254,1528097751.819252,e s,tcp,192.168.100.148,55165.0,192.168.100.7,80.0,5,770,REQ,1528097761.718952,69614,9.8997,3.695533,1.237559,,,7.391065,2.457974,4.933091,,,,,5,0,770,0,0.404053,0.404053,0.0,1,DDoS,TCP,DDoS_TCP,2
51076254,1528097751.958614,e s,tcp,192.168.100.149,15099.0,192.168.100.7,80.0,2,308,REQ,1528097756.958051,79614,4.999437,4.999437,0.0,,,4.999437,4.999437,4.999437,,,,,2,0,308,0,0.200023,0.200023,0.0,1,DDoS,TCP,DDoS_TCP,2
51086254,1528097752.113403,e s,tcp,192.168.100.149,17051.0,192.168.100.7,80.0,2,308,REQ,1528097757.091105,89614,4.977702,4.977702,0.0,,,4.977702,4.977702,4.977702,,,,,2,0,308,0,0.200896,0.200896,0.0,1,DDoS,TCP,DDoS_TCP,2
51096254,1528097752.264238,e s,tcp,192.168.100.147,1644.0,192.168.100.7,80.0,5,770,REQ,1528097761.678265,99614,9.414027,3.382275,0.79158,,,6.764551,2.590695,4.173856,,,,,5,0,770,0,0.424898,0.424898,0.0,1,DDoS,TCP,DDoS_TCP,2
51106254,1528097752.34193,e s,tcp,192.168.100.147,8107.0,192.168.100.7,80.0,5,770,REQ,1528097761.746749,109614,9.404819,3.387991,0.795523,,,6.775982,2.592469,4.183513,,,,,5,0,770,0,0.425314,0.425314,0.0,1,DDoS,TCP,DDoS_TCP,2
51116254,1528097752.416972,e s,tcp,192.168.100.147,13534.0,192.168.100.7,80.0,5,770,REQ,1528097761.816141,119614,9.399169,3.384577,0.80058,,,6.769155,2.583998,4.185157,,,,,5,0,770,0,0.42557,0.42557,0.0,1,DDoS,TCP,DDoS_TCP,2
51126254,1528097752.459846,e s,tcp,192.168.100.148,9915.0,192.168.100.7,80.0,3,462,REQ,1528097757.399475,129614,4.939629,4.939629,0.0,,,4.939629,4.939629,4.939629,,,,,3,0,462,0,0.404889,0.404889,0.0,1,DDoS,TCP,DDoS_TCP,2
