ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
1556145141,192.168.1.30,3059.0,192.168.1.190,3059.0,tcp,-,0.000133,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145167,192.168.1.30,3065.0,192.168.1.194,3065.0,tcp,-,1.5e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145117,192.168.1.30,3053.0,192.168.1.184,3053.0,tcp,-,1.4e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145180,192.168.1.30,3068.0,192.168.1.184,3068.0,tcp,-,1.7e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145149,192.168.1.30,3061.0,192.168.1.193,3061.0,tcp,-,1.5e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145125,192.168.1.30,3055.0,192.168.1.194,3055.0,tcp,-,1.1e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145173,192.168.1.194,80.0,192.168.1.194,3066.0,tcp,-,0.19181,0.0,0.0,S0,0.0,120.0,4800.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,0.0,normal
1556145230,192.168.1.30,37137.0,192.168.1.1,53.0,udp,dns,0.003302,44.0,44.0,SF,0.0,2.0,100.0,2.0,100.0,wpad,1.0,1.0,0.0,F,T,F,T,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145203,192.168.1.39,2992.0,192.168.1.195,2992.0,tcp,-,0.172807,0.0,0.0,S0,0.0,100.0,4000.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145209,192.168.1.30,3075.0,192.168.1.194,3075.0,tcp,-,1.7e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145261,192.168.1.30,3086.0,192.168.1.152,3086.0,tcp,-,0.000516,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145214,192.168.1.30,3076.0,192.168.1.193,3076.0,tcp,-,1.5e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145224,192.168.1.30,3078.0,192.168.1.152,3078.0,tcp,-,0.000166,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145260,192.168.1.190,3004.0,192.168.1.190,3004.0,tcp,-,0.242577,0.0,0.0,S0,0.0,120.0,4800.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,0.0,normal
1556145312,192.168.1.30,3097.0,192.168.1.184,3097.0,tcp,-,1.5e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145287,192.168.1.30,3092.0,192.168.1.193,3092.0,tcp,-,1.6e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145278,192.168.1.30,3090.0,192.168.1.193,3090.0,tcp,-,0.000134,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145268,192.168.1.39,3006.0,192.168.1.194,3006.0,tcp,-,0.195242,0.0,0.0,S0,0.0,100.0,4000.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145278,192.168.1.30,3090.0,192.168.1.193,3090.0,tcp,-,1.9e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145325,192.168.1.30,3100.0,192.168.1.194,3100.0,tcp,-,2.3e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145275,192.168.1.194,80.0,192.168.1.194,3007.0,tcp,-,0.216132,0.0,0.0,S0,0.0,120.0,4800.0,0.0,0.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,0.0,normal
1556145395,192.168.1.30,3115.0,192.168.1.184,3115.0,tcp,-,1.2e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145402,192.168.1.30,3117.0,192.168.1.193,3117.0,tcp,-,1.1e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145407,192.168.1.30,3118.0,192.168.1.152,3118.0,tcp,-,0.000245,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145353,192.168.1.30,3106.0,192.168.1.152,3106.0,tcp,-,0.000258,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145429,192.168.1.30,3123.0,192.168.1.193,3123.0,tcp,-,0.000167,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145367,192.168.1.30,3109.0,192.168.1.194,3109.0,tcp,-,1.7e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145359,192.168.1.195,53137.0,192.168.1.1,41952.0,tcp,http,0.013635,226.0,3978.0,SF,0.0,7.0,518.0,9.0,4350.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,0.0,normal
1556145506,192.168.1.30,3141.0,192.168.1.193,3141.0,tcp,-,1.1e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145503,192.168.1.30,3140.0,192.168.1.194,3140.0,tcp,-,1.1e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145438,192.168.1.30,3125.0,192.168.1.194,3125.0,tcp,-,1.1e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145437,192.168.1.30,3125.0,192.168.1.190,3125.0,tcp,-,1.2e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
1556145451,192.168.1.30,3128.0,192.168.1.184,3128.0,tcp,-,1.4e-05,0.0,0.0,REJ,0.0,1.0,40.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,dos
