Src_Port,Dst_Port,Protocol,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Target
8551,554,6,6250,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,3125.0,807.5159441150372,3696.0,2554.0,0.0,0.0,0.0,0.0,0.0,6250.0,3125.0,807.5159441150372,3696.0,2554.0,0,0,0,0,0,68,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,14600,0,0,0.0,0.0,0.0,0.0,3125.0,807.5159441150372,3696.0,2554.0,DoS
8213,554,6,2731,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.3324789454413,2731.0,0.0,2731.0,2731.0,0.0,0.0,0.0,0.0,0.0,2731.0,2731.0,0.0,2731.0,2731.0,0,0,0,0,0,44,0.0,732.3324789454413,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,2731.0,0.0,2731.0,2731.0,DoS
3028,554,6,1705,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.0205278592375,1705.0,0.0,1705.0,1705.0,0.0,0.0,0.0,0.0,0.0,1705.0,1705.0,0.0,1705.0,1705.0,0,0,0,0,0,44,0.0,1173.0205278592375,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,1705.0,0.0,1705.0,1705.0,DoS
7389,554,6,732,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.24043715847,732.0,0.0,732.0,732.0,0.0,0.0,0.0,0.0,0.0,732.0,732.0,0.0,732.0,732.0,0,0,0,0,0,44,0.0,2732.24043715847,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
1894,19604,6,1704,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.7089201877934,1704.0,0.0,1704.0,1704.0,0.0,0.0,0.0,0.0,0.0,1704.0,1704.0,0.0,1704.0,1704.0,0,0,0,0,0,40,0.0,1173.7089201877934,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,0,0,0,0.0,0.0,0.0,0.0,1704.0,0.0,1704.0,1704.0,DoS
5350,554,6,3129,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.1818472355385,3129.0,0.0,3129.0,3129.0,0.0,0.0,0.0,0.0,0.0,3129.0,3129.0,0.0,3129.0,3129.0,0,0,0,0,0,44,0.0,639.1818472355385,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,3129.0,0.0,3129.0,3129.0,DoS
2237,554,6,4462,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.2294935006724,4462.0,0.0,4462.0,4462.0,0.0,0.0,0.0,0.0,0.0,4462.0,4462.0,0.0,4462.0,4462.0,0,0,0,0,0,44,0.0,448.2294935006724,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,4462.0,0.0,4462.0,4462.0,DoS
3485,554,6,9583,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.7029114056141,9583.0,0.0,9583.0,9583.0,0.0,0.0,0.0,0.0,0.0,9583.0,9583.0,0.0,9583.0,9583.0,0,0,0,0,0,44,0.0,208.7029114056141,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,9583.0,0.0,9583.0,9583.0,DoS
7694,554,6,3160,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.9113924050632,3160.0,0.0,3160.0,3160.0,0.0,0.0,0.0,0.0,0.0,3160.0,3160.0,0.0,3160.0,3160.0,0,0,0,0,0,44,0.0,632.9113924050632,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,3160.0,0.0,3160.0,3160.0,DoS
7878,554,6,2601,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.9350249903882,2601.0,0.0,2601.0,2601.0,0.0,0.0,0.0,0.0,0.0,2601.0,2601.0,0.0,2601.0,2601.0,0,0,0,0,0,44,0.0,768.9350249903882,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,14600,0,0,0.0,0.0,0.0,0.0,2601.0,0.0,2601.0,2601.0,DoS
