ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
1556486303,192.168.1.193,57324.0,192.168.1.33,8080.0,tcp,-,1.9e-05,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556486833,192.168.1.193,57451.0,192.168.1.33,8080.0,tcp,-,6.8e-05,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556485537,192.168.1.193,57139.0,192.168.1.33,8080.0,tcp,-,0.008797,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556485946,192.168.1.193,57238.0,192.168.1.33,8080.0,tcp,-,8.1e-05,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556485807,192.168.1.193,57204.0,192.168.1.33,8080.0,tcp,-,9.8e-05,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556486460,192.168.1.193,57360.0,192.168.1.33,8080.0,tcp,-,0.000776,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556486962,192.168.1.193,57484.0,192.168.1.33,8080.0,tcp,-,0.003884,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556486546,192.168.1.193,57381.0,192.168.1.33,8080.0,tcp,-,9e-05,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556485733,192.168.1.193,57187.0,192.168.1.33,8080.0,tcp,-,0.000106,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
1556485690,192.168.1.193,57177.0,192.168.1.33,80.0,tcp,-,0.000144,0.0,0.0,REJ,0.0,1.0,48.0,1.0,40.0,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,backdoor
