Unnamed: 0,Seq,Dur,RunTime,Mean,Sum,Min,Max,Proto,sTos,dTos,sDSb,dDSb,sTtl,dTtl,sHops,dHops,Cause,TotPkts,SrcPkts,DstPkts,TotBytes,SrcBytes,DstBytes,Offset,sMeanPktSz,dMeanPktSz,Load,SrcLoad,DstLoad,Loss,SrcLoss,DstLoss,pLoss,SrcGap,DstGap,Rate,SrcRate,DstRate,State,SrcWin,DstWin,sVid,dVid,SrcTCPBase,DstTCPBase,TcpRtt,SynAck,AckDat,Attack_Type
542085,21620,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,249.0,,7.0,,Start,1,1,0,74,74,0,3261844,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,610.0,,,,0.0,0.0,0.0,Benign
688072,23151,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,249.0,,7.0,,Start,1,1,0,74,74,0,4611228,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,610.0,,,,0.0,0.0,0.0,Benign
45147,8747,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,249.0,,7.0,,Start,1,1,0,74,74,0,1565168,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,610.0,,,,0.0,0.0,0.0,Benign
454168,77860,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,63.0,,1.0,,Status,1,1,0,42,42,0,34206308,42.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,REQ,,,,,,,0.0,0.0,0.0,Benign
33445,9284,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,255.0,,1.0,,Start,1,1,0,60,60,0,938188,60.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,,,,,0.0,0.0,0.0,Benign
516032,11,4.993225,4.993225,4.993225,4.993225,4.993225,4.993225,udp,0.0,0.0,cs0,cs0,117.0,64.0,11.0,0.0,Status,131,116,15,155623,150739,4884,39367576,1299.474121,325.600006,246732.7188,239428.4219,7304.297363,0,0,0,0.0,,,26.035276,23.031206,2.803799,CON,,,,,,,0.0,0.0,0.0,Benign
335894,70014,2.580931,2.580931,2.580931,2.580931,2.580931,2.580931,udp,0.0,,cs0,,63.0,,1.0,,Status,2,2,0,84,84,0,24237632,42.0,0.0,130.185577,130.185577,0.0,0,0,0,0.0,,,0.387457,0.387457,0.0,REQ,,,,,,,0.0,0.0,0.0,Benign
36460,1685,0.109537,0.109537,0.109537,0.109537,0.109537,0.109537,tcp,0.0,0.0,cs0,cs0,116.0,64.0,12.0,0.0,Start,2,1,1,132,66,66,377656,66.0,66.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,9.129335,0.0,0.0,FIN,269.0,379.0,,,573629576.0,2669730457.0,0.0,0.0,0.0,Benign
434014,39703,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,249.0,,7.0,,Start,1,1,0,74,74,0,16221264,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,610.0,,,,0.0,0.0,0.0,Benign
342087,7125,0.0,0.0,0.0,0.0,0.0,0.0,udp,0.0,,cs0,,249.0,,7.0,,Start,1,1,0,74,74,0,1222000,74.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,0.0,0.0,0.0,INT,,,610.0,,,,0.0,0.0,0.0,Benign
